time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-02T06:29:12.522Z,24.0154,121.7126,29.844,4.5,mb,23,91,0.191,0.32,us,us7000j43w,2023-03-11T22:51:47.040Z,"11 km ENE of Hualien City, Taiwan",earthquake,3.02,6.114,0.242,5,reviewed,us,us
2023-01-13T15:02:37.525Z,23.9729,122.3377,32.749,4.9,mb,44,96,0.708,1.02,us,us7000j46n,2023-03-20T06:03:36.040Z,"74 km E of Hualien City, Taiwan",earthquake,4.8,5.411,0.086,42,reviewed,us,us
2023-02-06T20:20:15.847Z,24.2348,121.8534,20.266,4.8,mb,78,98,0.244,0.83,us,us6000jm2l,2023-04-15T21:39:40.040Z,"38 km NE of Hualien City, Taiwan",earthquake,4.45,3.372,0.057,96,reviewed,us,us
2023-02-08T10:49:59.600Z,23.3686,121.6164,32.526,4.8,mwr,113,40,0.294,0.7,us,us6000jmgd,2023-04-15T21:39:47.040Z,"67 km S of Hualien City, Taiwan",earthquake,2.8,4.789,0.06,27,reviewed,us,us
2023-02-11T11:35:48.278Z,23.3969,121.6211,35.037,4.7,mb,80,97,0.298,0.47,us,us6000jnal,2023-04-15T21:39:57.040Z,"64 km S of Hualien City, Taiwan",earthquake,3.65,5.309,0.065,72,reviewed,us,us
2023-02-17T01:22:50.287Z,23.9454,121.4889,18.014,4.7,mb,34,93,0.247,0.92,us,us6000jpi1,2023-04-22T21:33:14.040Z,"12 km WSW of Hualien City, Taiwan",earthquake,2.45,4.344,0.087,41,reviewed,us,us
2023-02-18T15:49:09.168Z,23.693,120.7125,19.786,4.5,mb,41,68,0.24,0.83,us,us6000jpxl,2023-04-22T21:33:19.040Z,"7 km SW of Lugu, Taiwan",earthquake,4.17,4.518,0.118,21,reviewed,us,us
2023-02-25T16:03:17.437Z,22.5275,121.4044,10,4.6,mb,34,101,0.416,1.08,us,us6000jrkd,2023-04-29T21:57:38.040Z,"89 km NE of Hengchun, Taiwan",earthquake,4.9,1.864,0.122,20,reviewed,us,us
2023-03-08T18:32:20.420Z,23.9272,122.6314,28.085,4.5,mb,31,106,0.64,0.7,us,us7000ji95,2023-05-15T02:50:00.040Z,"70 km SSW of Yonakuni, Japan",earthquake,5.43,5.373,0.132,17,reviewed,us,us
2023-03-21T01:45:20.639Z,23.6144,121.365,8.327,5.2,mww,76,52,0.229,0.74,us,us7000jlkc,2023-05-26T21:54:09.040Z,"46 km SSW of Hualien City, Taiwan",earthquake,3.6,4.224,0.051,37,reviewed,us,us
2023-03-22T15:43:05.421Z,23.6272,121.3779,5.869,4.5,mb,62,95,0.245,0.47,us,us7000jlxt,2023-05-26T21:54:12.040Z,"45 km SSW of Hualien City, Taiwan",earthquake,2.24,4.749,0.09,36,reviewed,us,us
2023-03-30T20:15:52.442Z,22.2207,121.5548,11.722,4.5,mb,62,115,0.739,0.68,us,us6000k0yr,2023-06-03T22:06:09.040Z,"87 km ENE of Hengchun, Taiwan",earthquake,5.51,4.333,0.081,45,reviewed,us,us
2023-04-09T18:45:36.800Z,24.3665,123.0428,48.38,4.9,mwr,98,80,0.104,0.91,us,us6000k341,2023-06-17T21:36:41.040Z,"11 km SSE of Yonakuni, Japan",earthquake,6.47,4.274,0.068,21,reviewed,us,us
2023-05-04T15:38:19.945Z,23.4239,121.3467,15.123,4.6,mwr,125,49,0.055,0.77,us,us6000k9h6,2023-07-15T22:09:39.040Z,"66 km SSW of Hualien City, Taiwan",earthquake,5.12,3.79,0.063,24,reviewed,us,us
2023-05-08T09:23:11.086Z,24.7473,122.7397,112.539,4.9,mb,107,58,0.373,0.83,us,us6000kaca,2023-07-22T19:16:22.040Z,"40 km NW of Yonakuni, Japan",earthquake,4.79,4.766,0.036,244,reviewed,us,us
2023-05-12T17:30:21.293Z,23.1661,121.443,29.709,4.5,mb,70,102,0.262,0.77,us,us6000kbi2,2023-07-22T19:17:09.040Z,"91 km S of Hualien City, Taiwan",earthquake,3.87,4.367,0.08,55,reviewed,us,us
2023-06-10T05:31:54.874Z,22.8409,120.6558,26.564,4.9,mwr,143,70,0.392,0.72,us,us7000k7l7,2023-08-12T17:15:15.040Z,"37 km SSE of Yujing, Taiwan",earthquake,5.17,5.144,0.061,26,reviewed,us,us
2023-06-10T09:12:34.074Z,22.8318,120.6059,21.189,4.7,mwr,65,80,0.438,0.67,us,us7000k7ly,2024-01-18T20:15:45.349Z,"35 km SSE of Yujing, Taiwan",earthquake,4.61,4.902,0.059,28,reviewed,us,us
2023-06-11T12:25:38.578Z,24.201,122.4809,52.449,4.7,mwr,73,74,0.552,0.59,us,us7000k7tt,2023-08-21T04:18:40.040Z,"60 km WSW of Yonakuni, Japan",earthquake,3.56,5.596,0.065,23,reviewed,us,us
2023-07-08T19:47:11.473Z,21.9267,121.5692,4,5.6,mww,240,23,0.996,0.79,us,us6000kr0e,2023-09-09T21:55:01.040Z,"85 km E of Hengchun, Taiwan",earthquake,4.74,1.735,0.059,28,reviewed,us,us
2023-07-08T20:26:32.898Z,22.0705,121.6728,10,4.9,mb,67,105,0.924,0.97,us,us6000kr0h,2023-09-09T21:55:01.040Z,"96 km E of Hengchun, Taiwan",earthquake,5.28,1.864,0.089,39,reviewed,us,us
2023-07-09T01:53:49.163Z,21.9898,121.6528,10,4.8,mb,55,109,0.98,1.07,us,us6000kr1j,2023-09-16T19:16:05.040Z,"93 km E of Hengchun, Taiwan",earthquake,6.64,1.885,0.077,53,reviewed,us,us
2023-07-09T03:31:59.738Z,22.1437,121.6782,10,4.7,mb,50,213,0.87,0.94,us,us6000kr20,2023-09-16T19:16:06.040Z,"97 km E of Hengchun, Taiwan",earthquake,6.26,1.902,0.075,53,reviewed,us,us
2023-07-09T05:27:27.174Z,21.9512,121.6285,10,4.5,mb,48,115,1.001,0.69,us,us7000kgdr,2023-09-16T19:16:18.040Z,"91 km E of Hengchun, Taiwan",earthquake,6.11,1.888,0.108,32,reviewed,us,us
2023-07-09T07:52:53.451Z,22.1269,121.6188,10,4.6,mb,51,115,0.849,0.59,us,us6000kr2m,2023-09-16T19:16:06.040Z,"91 km E of Hengchun, Taiwan",earthquake,6.05,1.891,0.082,45,reviewed,us,us
