time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-12T03:10:28.754Z,-15.1466,-173.0377,10,5,mb,54,96,1.73,0.86,us,us7000m4ss,2024-03-12T05:03:37.040Z,"120 km NE of Hihifo, Tonga",earthquake,9.16,1.874,0.078,52,reviewed,us,us
2024-03-12T03:42:32.306Z,-33.8242,-72.5297,12.215,5.1,mww,62,78,0.781,0.65,us,us7000m4sw,2024-03-13T12:59:27.040Z,"89 km WSW of San Antonio, Chile",earthquake,4.77,2.816,0.069,20,reviewed,us,us
2024-03-12T04:37:30.264Z,38.722,14.9586,221.365,4.8,mb,53,41,2.326,0.75,us,us7000m4t4,2024-03-12T07:50:24.181Z,"19 km NNE of Malfa, Italy",earthquake,7.53,6.727,0.061,83,reviewed,us,us
2024-03-12T05:02:23.968Z,-60.0325,-27.6893,129.185,5,mb,44,86,7.485,0.52,us,us7000m4t7,2024-03-12T05:17:42.040Z,"South Sandwich Islands region",earthquake,12.68,8.801,0.075,57,reviewed,us,us
2024-03-12T09:44:49.838Z,26.3629,-44.6467,10,4.9,mb,49,99,18.635,0.66,us,us7000m4u6,2024-03-12T10:20:05.040Z,"northern Mid-Atlantic Ridge",earthquake,12.98,1.907,0.083,45,reviewed,us,us
2024-03-12T10:41:03.956Z,-8.0837,68.2638,10,5.1,mww,50,58,4.204,0.39,us,us7000m4ub,2024-03-12T11:00:24.040Z,"Chagos Archipelago region",earthquake,8.81,1.878,0.11,8,reviewed,us,us
2024-03-12T20:56:50.634Z,51.5607,-175.0913,36.367,4.6,mwr,117,135,0.671,0.67,us,us6000miha,2024-03-13T14:23:24.692Z,"93 km SW of Atka, Alaska",earthquake,5.39,6.434,0.083,14,reviewed,us,us
2024-03-12T22:04:52.385Z,-11.9878,-74.6203,10.418,4.6,mb,29,111,2.174,0.82,us,us6000mihq,2024-03-12T23:00:35.643Z,"29 km NE of Salcabamba, Peru",earthquake,4.27,5.448,0.141,15,reviewed,us,us
2024-03-13T02:50:35.486Z,-15.0396,-73.1691,80.227,4.7,mb,83,129,4.686,0.41,us,us6000miic,2024-03-13T21:34:45.360Z,"15 km N of Oyolo, Peru",earthquake,11.67,8.565,0.062,78,reviewed,us,us
2024-03-13T04:20:12.289Z,0.804,-90.856,10,4.6,mb,40,199,11.313,0.82,us,us6000miin,2024-03-14T01:45:49.040Z,"181 km NNW of Puerto Ayora, Ecuador",earthquake,13.27,1.961,0.091,36,reviewed,us,us
2024-03-13T07:08:44.257Z,27.6281,129.8046,25.352,4.7,mb,57,99,1.576,0.69,us,us6000mij7,2024-03-13T07:55:46.040Z,"85 km E of Isen, Japan",earthquake,5.65,5.122,0.069,63,reviewed,us,us
2024-03-13T09:30:05.494Z,-18.5989,-69.3347,114.549,5.3,mww,114,79,0.982,0.99,us,us6000mijr,2024-03-13T23:26:41.598Z,"79 km N of Camiña, Chile",earthquake,6.1,5.242,0.06,27,reviewed,us,us
2024-03-13T11:24:42.229Z,37.0983,141.2158,47.664,4.6,mwr,82,140,2.476,0.9,us,us6000mikg,2024-03-13T12:11:30.415Z,"30 km E of Iwaki, Japan",earthquake,8.1,6.462,0.075,17,reviewed,us,us
2024-03-13T15:13:23.771Z,-5.8705,150.6344,50.416,6,mww,112,33,9.887,0.95,us,us6000milg,2024-03-14T15:22:18.952Z,"65 km ESE of Kimbe, Papua New Guinea",earthquake,8.18,4.68,0.044,49,reviewed,us,us
2024-03-13T15:24:11.576Z,36.2851,70.2059,130.671,5,mb,79,86,3.427,0.79,us,us6000milk,2024-03-13T17:40:43.669Z,"44 km SE of Farkhār, Afghanistan",earthquake,8.33,7.017,0.07,66,reviewed,us,us
2024-03-13T16:39:21.720Z,-6.5474,129.869,169.621,5.1,mb,88,46,2.012,0.56,us,us6000mimk,2024-03-13T16:56:40.040Z,"Banda Sea",earthquake,8.42,6.494,0.062,84,reviewed,us,us
2024-03-13T18:56:13.292Z,-0.1127,125.2136,26.46,5.8,mww,89,67,2.325,1.16,us,us6000minw,2024-03-14T19:00:56.901Z,"106 km SE of Modisi, Indonesia",earthquake,7.48,4.881,0.068,21,reviewed,us,us
2024-03-13T19:06:07.445Z,-0.1385,125.2632,57.67,4.9,mb,49,52,2.29,1.05,us,us6000minz,2024-03-13T19:23:13.040Z,"112 km SE of Modisi, Indonesia",earthquake,8.41,7.87,0.072,63,reviewed,us,us
2024-03-13T20:06:33.505Z,-49.6552,125.9332,10,5.5,mww,38,70,16.22,1.06,us,us6000mipe,2024-03-14T20:10:19.868Z,"western Indian-Antarctic Ridge",earthquake,11.19,1.88,0.069,20,reviewed,us,us
2024-03-13T22:10:23.311Z,-19.7348,-70.9858,19.334,4.8,mb,45,142,0.964,1.16,us,us6000miq9,2024-03-13T23:23:42.081Z,"102 km WNW of Puerto, Chile",earthquake,6.19,4.826,0.064,74,reviewed,us,us
2024-03-13T22:10:34.819Z,-19.747,-71.0333,11.279,5,mww,39,164,0.996,0.93,us,us6000miqd,2024-03-13T23:27:39.877Z,"105 km WNW of Puerto, Chile",earthquake,5.03,3.569,0.086,13,reviewed,us,us
2024-03-13T23:05:04.022Z,-19.6925,-71.0693,9.761,4.6,mwr,45,139,1.053,1.03,us,us6000miqh,2024-03-13T23:20:48.040Z,"110 km WSW of Cuya, Chile",earthquake,4.09,3.764,0.062,25,reviewed,us,us
2024-03-14T00:51:37.540Z,-2.8861,129.6768,10,4.8,mb,51,61,1.641,0.93,us,us6000miqp,2024-03-14T01:08:16.040Z,"90 km ENE of Masohi, Indonesia",earthquake,6.15,1.858,0.083,45,reviewed,us,us
2024-03-14T03:06:46.795Z,42.9936,18.6796,7.577,5.4,mww,101,29,0.708,0.85,us,us6000mirj,2024-03-15T15:21:04.101Z,"21 km SW of Plužine, Montenegro",earthquake,4.07,3.791,0.047,43,reviewed,us,us
2024-03-14T06:13:01.928Z,11.2624,95.12,10,4.8,mb,50,97,4.729,0.55,us,us6000misc,2024-03-14T06:57:54.040Z,"262 km E of Port Blair, India",earthquake,6.4,1.855,0.093,36,reviewed,us,us
2024-03-14T08:27:16.234Z,38.5495,97.3148,10,4.7,mb,76,101,5.709,0.6,us,us6000mist,2024-03-14T08:42:03.040Z,"101 km WSW of Yanglong, China",earthquake,9.95,1.896,0.065,73,reviewed,us,us
